,FB,MSFT,TSLA,TWTR
2019-02-14,163.9499969482422,105.3424072265625,303.7699890136719,30.959999084472656
2019-02-15,162.5,106.6431655883789,307.8800048828125,31.229999542236328
2019-02-19,162.2899932861328,106.5938949584961,305.6400146484375,31.649999618530273
2019-02-20,162.55999755859375,106.03970336914062,302.55999755859375,31.3700008392334
2019-02-21,160.0399932861328,108.27628326416016,291.2300109863281,30.760000228881836
2019-02-22,161.88999938964844,109.82011413574219,294.7099914550781,31.709999084472656
2019-02-25,164.6199951171875,110.43368530273438,298.7699890136719,31.989999771118164
2019-02-26,164.1300048828125,111.19570922851562,297.8599853515625,31.010000228881836
2019-02-27,162.80999755859375,111.00767517089844,314.739990234375,30.40999984741211
2019-02-28,161.4499969482422,110.86913299560547,319.8800048828125,30.780000686645508
2019-03-01,162.27999877929688,111.36394500732422,294.7900085449219,30.6200008392334
2019-03-04,167.3699951171875,111.09674835205078,285.3599853515625,30.5
2019-03-05,171.25999450683594,110.54254913330078,276.5400085449219,31.030000686645508
2019-03-06,172.50999450683594,110.59203338623047,276.239990234375,30.799999237060547
2019-03-07,169.1300048828125,109.24612426757812,276.5899963378906,30.1200008392334
2019-03-08,169.60000610351562,109.36487579345703,284.1400146484375,30.040000915527344
2019-03-11,172.07000732421875,111.66084289550781,290.9200134277344,30.8700008392334
2019-03-12,171.9199981689453,112.44265747070312,283.3599853515625,31.15999984741211
2019-03-13,173.3699951171875,113.31354522705078,288.9599914550781,31.299999237060547
2019-03-14,170.1699981689453,113.40260314941406,289.9599914550781,31.030000686645508
2019-03-15,165.97999572753906,114.70893096923828,275.42999267578125,31.219999313354492
2019-03-18,160.47000122070312,116.35172271728516,269.489990234375,31.079999923706055
2019-03-19,161.57000732421875,116.43089294433594,267.4700012207031,31.270000457763672
2019-03-20,165.44000244140625,116.30223083496094,273.6000061035156,32.56999969482422
2019-03-21,166.0800018310547,118.9742660522461,274.0199890136719,32.61000061035156
2019-03-22,164.33999633789062,115.83711242675781,264.5299987792969,33.02000045776367
2019-03-25,166.2899932861328,116.4407958984375,260.4200134277344,32.59000015258789
2019-03-26,167.67999267578125,116.68820190429688,267.7699890136719,33.060001373291016
2019-03-27,165.8699951171875,115.56001281738281,274.8299865722656,32.279998779296875
2019-03-28,165.5500030517578,115.7183609008789,278.6199951171875,32.869998931884766
2019-03-29,166.69000244140625,116.7178955078125,279.8599853515625,32.880001068115234
2019-04-01,168.6999969482422,117.78669738769531,289.17999267578125,33.439998626708984
2019-04-02,174.1999969482422,117.95494079589844,285.8800048828125,33.75
2019-04-03,173.5399932861328,118.72685241699219,291.80999755859375,34.380001068115234
2019-04-04,176.02000427246094,118.12317657470703,267.7799987792969,34.41999816894531
2019-04-05,175.72000122070312,118.64768981933594,274.9599914550781,34.720001220703125
2019-04-08,174.92999267578125,118.68727111816406,273.20001220703125,34.86000061035156
